gsm3118997,gsm3118998,gsm3118999,gsm3119000,gsm3119001,gsm3119002,gsm3119003,gsm3119004,gsm3119005,gsm3119006,gsm3119007,gsm3119008,gsm3119009,gsm3119010,gsm3119011,gsm3119012,gsm3119013,gsm3119014,gsm3119015,gsm3119016
1689,1278,2153,828,1146,996,1372,1375,841,1121,820,1091,1065,882,718,785,1435,1204,1635,892
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,71,110,52,60,42,71,63,47,60,29,56,58,45,39,46,89,77,93,59
2,4,8,2,2,5,10,2,4,4,2,1,2,14,5,1,2,4,1,9
77,62,131,35,73,24,46,66,42,81,14,19,25,50,16,48,23,16,31,19
17,20,26,4,13,24,26,20,14,16,9,10,15,11,9,13,33,16,23,7
3100,2445,3507,1366,1808,1559,2112,2142,1595,1662,1486,2005,1906,1512,1375,1451,3027,1973,2865,1370
2146,1225,2854,1305,1574,1183,1407,1594,1264,1753,752,904,992,1114,890,736,1515,980,1440,1161
3582,2813,4397,1872,2487,1800,2713,3027,1779,2649,1320,1849,1716,1481,1327,1391,2359,2146,2876,1489
2742,2216,3339,1450,1770,1547,1824,2090,1621,1797,1250,1403,1405,1257,1207,1224,2360,1630,2343,1194
6362,4213,7394,2194,2980,3158,3990,4287,2417,2989,3203,3028,3243,2479,1817,2786,5045,3581,5217,2168
139,122,166,76,99,63,77,93,85,81,41,55,49,61,31,24,91,55,77,47
11,9,20,6,7,10,2,8,7,7,2,8,5,6,5,3,6,5,10,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,26,56,18,36,19,23,29,19,30,7,20,13,18,11,16,18,15,17,7
91,71,93,33,52,43,36,48,56,63,54,43,50,33,34,30,94,80,111,44
2040,1446,2457,910,1062,1154,1225,1424,1018,1144,569,688,630,502,438,580,1209,846,1315,567
872,612,937,393,488,417,639,601,379,600,369,506,398,343,440,353,588,544,787,386
7295,5234,7842,3040,4895,3419,3950,4335,3566,4099,2988,3335,2872,2531,2343,2898,4835,3673,5254,2714
2795,2143,3593,1329,1961,1619,1914,2220,1447,1888,1201,1304,1423,1170,968,1129,2219,1638,2329,1192
1686,1499,2295,1025,1499,990,1277,1525,999,1260,713,952,894,859,751,784,1528,1068,1417,858
1575,1083,1967,723,913,906,1058,1077,822,887,620,663,614,610,492,590,1154,872,1188,615
4546,3118,5059,1891,2688,2463,2848,3119,2188,2483,1863,2396,1997,1847,1662,1778,3784,2582,3647,1830
16,19,21,10,4,9,12,15,16,15,9,10,4,6,3,7,14,18,17,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,16,34,9,20,25,21,18,4,12,4,19,5,9,5,7,22,7,10,6
149,138,186,92,103,86,114,142,97,101,58,57,89,44,55,54,98,86,105,46
4955,3975,6392,2546,3274,2912,3775,4005,2650,3340,2399,2865,2800,2302,1979,2166,4373,3681,4427,2393
4689,3105,5413,1996,2599,2351,3160,3244,2046,2582,2103,2559,2418,1838,1777,2047,3701,2934,3901,1978
48,42,56,15,34,20,27,22,29,37,10,12,11,13,14,13,19,19,13,14
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3707,3032,4294,1912,2575,2145,3291,2905,1943,2686,2429,3666,2950,2500,2332,2408,4410,3867,4640,2544
3376,2503,4350,1618,2197,1967,2647,2654,1706,2195,1672,2220,1861,1585,1281,1567,3196,2526,3588,1700
7224,5237,7695,3259,4420,3336,5204,4736,3106,5062,3049,4247,3472,2645,3034,3024,4986,4379,5969,3137
863,613,907,387,464,514,614,520,384,441,391,387,394,370,309,358,822,437,681,353
4,0,1,0,0,1,0,1,0,0,0,0,0,2,5,0,0,0,0,2
82,88,97,54,59,67,72,73,55,53,49,31,48,23,40,44,79,65,81,47
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7,12,4,9,8,10,7,5,4,2,6,10,4,6,7,3,2,10,1
9491,7061,11027,4668,5638,4880,6919,6611,4492,5537,3184,3989,3788,3046,3029,3073,5835,4920,6414,3540
6,3,2,3,0,3,5,2,5,2,3,3,2,0,3,5,4,2,0,9
3042,2333,3522,1552,2087,1885,2056,2092,1616,1894,1266,1450,1422,1552,1243,1281,2672,1804,2530,1309
1,1,0,0,6,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0
2447,1507,2586,899,1273,1205,1327,1633,934,1146,933,1217,915,754,693,804,1613,1095,1567,775
19,28,5,5,25,4,24,4,5,14,14,6,9,1,8,6,10,29,15,10
